행정구역(시군구)별(1),행정구역(시군구)별(2),2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05,2021. 06
대전광역시,대덕구,"2,155","2,217","2,082","1,804","1,852","1,653","1,982","1,826","1,597","2,042","1,996","2,242","2,096","2,411","2,456","2,020","1,959","2,303","2,074","1,802","2,470","3,183","2,288","2,489","2,130","1,962","2,201","1,839","1,784","1,735"
울산광역시,소계,"13,788","15,870","14,893","14,154","13,018","10,234","11,967","11,208","9,795","11,892","11,808","13,601","13,474","16,779","14,811","11,731","11,001","11,695","10,763","11,110","10,800","10,813","12,101","14,618","14,144","15,609","14,469","11,220","10,966","10,951"
울산광역시,중구,"2,792","3,286","3,262","3,279","2,766","2,081","2,503","2,295","2,130","2,424","2,269","2,861","2,698","3,191","2,814","2,392","2,246","2,358","2,152","2,151","2,264","2,126","2,320","2,817","2,772","3,055","2,809","2,117","2,022","2,173"
울산광역시,남구,"4,351","4,628","4,236","3,974","3,925","3,160","3,747","3,617","3,107","3,862","3,983","4,614","4,461","5,588","5,091","4,137","3,472","4,058","3,869","3,866","3,835","3,789","4,258","5,101","4,772","4,868","4,639","3,500","3,588","3,615"
울산광역시,동구,"1,915","2,247","2,042","1,969","1,737","1,392","1,493","1,454","1,271","1,651","1,534","1,715","1,754","2,305","2,198","1,677","1,452","1,474","1,271","1,422","1,307","1,309","1,462","1,771","1,642","1,919","1,832","1,512","1,489","1,336"
울산광역시,북구,"2,422","2,752","2,890","2,706","2,366","1,813","2,132","1,965","1,672","2,075","2,117","2,271","2,230","2,994","2,508","2,008","1,950","1,841","1,664","1,894","1,679","1,827","2,023","2,521","2,731","3,179","2,701","2,082","1,959","1,972"
울산광역시,울주군,"2,308","2,957","2,463","2,226","2,224","1,788","2,092","1,877","1,615","1,880","1,905","2,140","2,331","2,701","2,200","1,517","1,881","1,964","1,807","1,777","1,715","1,762","2,038","2,408","2,227","2,588","2,488","2,009","1,908","1,855"
세종특별자치시,소계,"5,368","6,329","4,653","4,014","3,953","4,002","5,129","4,701","4,694","5,549","4,745","5,537","6,292","7,597","5,826","4,361","4,035","4,780","4,428","4,767","4,924","6,557","5,765","6,577","6,216","6,220","5,413","4,218","3,972","4,521"
세종특별자치시,세종특별자치시,"5,368","6,329","4,653","4,014","3,953","4,002","5,129","4,701","4,694","5,549","4,745","5,537","6,292","7,597","5,826","4,361","4,035","4,780","4,428","4,767","4,924","6,557","5,765","6,577","6,216","6,220","5,413","4,218","3,972","4,521"
경기도,소계,"165,024","169,249","158,699","153,050","145,768","124,662","147,964","148,674","137,590","155,225","143,562","156,829","157,840","198,804","192,318","147,641","147,775","154,269","154,006","168,377","167,947","157,536","158,193","179,493","149,255","178,431","196,741","159,297","146,073","140,592"
경기도,수원시,"17,127","17,955","15,966","17,056","15,480","13,588","15,245","14,574","13,467","14,566","13,836","15,544","16,181","19,618","19,338","14,528","12,733","12,861","12,915","13,584","14,274","13,361","13,904","16,221","14,052","17,828","21,891","16,774","14,537","13,569"
경기도,성남시,"12,086","12,976","11,511","11,217","10,936","9,307","11,210","12,087","11,555","12,934","11,324","12,806","12,880","16,130","14,409","11,045","11,241","11,311","11,386","14,569","14,396","12,846","12,161","14,019","11,282","13,774","15,675","11,844","11,304","12,681"
경기도,의정부시,"6,314","5,327","5,707","5,617","5,188","3,886","4,372","4,455","4,369","5,014","4,577","4,854","4,583","6,789","6,977","5,142","5,088","5,337","5,577","6,026","6,453","5,312","4,933","6,497","5,026","5,551","6,083","5,190","4,617","4,542"
경기도,안양시,"7,337","7,561","7,154","6,994","7,058","5,598","6,214","6,400","6,150","7,167","6,658","9,424","9,188","11,385","9,411","7,496","8,457","8,790","7,526","7,661","7,581","6,812","6,527","7,111","5,918","10,271","11,100","7,837","7,205","6,995"
경기도,부천시,"9,665","10,165","10,282","9,306","9,350","7,929","7,884","7,521","7,200","8,468","7,836","8,301","7,968","10,219","10,456","8,400","8,965","9,430","8,777","8,955","8,590","8,319","8,177","9,429","7,853","8,439","9,401","8,175","8,077","7,399"
경기도,광명시,"4,558","5,225","4,822","4,557","4,405","3,648","3,581","3,563","3,277","4,259","3,668","3,798","3,779","5,463","4,875","4,346","4,973","5,434","5,140","5,935","6,549","6,531","6,119","5,958","4,138","4,003","4,402","4,091","4,239","3,648"
경기도,평택시,"6,487","7,615","7,121","6,553","5,774","4,934","6,761","6,262","6,104","6,652","6,123","7,290","6,904","7,889","7,476","5,831","6,283","6,513","6,239","6,193","6,505","6,445","6,670","7,132","6,802","7,068","8,259","7,378","6,569","6,393"
경기도,동두천시,"1,257","1,182","1,357","1,124","1,153",879,"1,071",953,913,"1,127","1,051",977,897,"1,241","1,344","1,033","1,016","1,197","1,270","1,068","1,094","1,005",970,"1,250","1,059","1,341","1,598","1,325","1,094","1,087"
경기도,안산시,"7,908","7,817","7,849","7,965","7,995","7,353","9,767","9,085","8,082","8,642","7,626","7,184","7,150","10,998","14,617","10,040","8,717","9,336","9,079","7,759","7,379","7,861","11,218","9,866","7,489","7,543","9,023","7,885","7,253","6,878"
경기도,고양시,"11,783","12,484","12,904","11,582","11,085","9,387","11,849","13,488","12,384","13,221","11,211","12,687","12,765","16,120","14,974","11,423","11,650","12,488","12,544","13,330","13,544","13,013","12,532","14,972","12,639","14,063","15,476","12,784","11,611","10,620"
경기도,과천시,723,858,777,638,645,502,631,613,585,614,476,701,681,"1,055",675,"1,067","1,016",846,792,685,664,775,719,"1,302","1,093","1,735","1,293",799,784,708
경기도,구리시,"2,234","2,485","2,318","2,339","2,204","2,009","2,386","2,589","2,301","2,516","2,207","2,160","2,210","3,280","3,506","2,768","2,504","2,721","2,474","2,156","2,839","2,695","2,326","2,315","2,025","2,569","2,717","2,472","2,578","2,263"
경기도,남양주시,"6,693","7,411","6,345","6,441","5,989","5,187","6,891","7,023","6,251","6,689","6,167","6,093","6,505","8,814","7,872","6,127","6,191","6,408","6,638","6,612","6,706","6,696","6,409","6,947","5,750","8,380","9,015","6,805","6,004","5,785"
경기도,오산시,"2,927","2,843","2,682","2,771","2,423","2,277","2,578","2,730","2,226","2,524","2,808","2,936","2,614","2,999","3,109","2,262","2,553","2,491","2,474","2,962","2,749","2,447","2,625","2,860","2,595","2,620","3,042","2,626","2,318","2,345"
경기도,시흥시,"4,774","5,300","5,499","5,444","5,201","4,908","5,564","5,434","4,644","5,628","5,047","4,905","4,936","6,284","6,271","4,897","5,235","6,576","6,678","7,835","6,772","5,584","5,940","6,118","5,663","5,763","6,287","5,424","5,246","4,892"
경기도,군포시,"3,498","3,323","3,111","2,821","2,912","2,148","2,863","3,187","2,800","3,775","3,409","3,279","2,970","3,936","4,072","3,189","3,564","3,479","3,105","3,184","3,343","2,981","2,783","3,238","2,681","3,746","4,175","3,144","2,975","2,610"
